key,value
0,HOPOPT
1,ICMP
2,IGMP
3,GGP
4,IPv4
5,ST
6,TCP
7,CBT
8,EGP
9,IGP
10,BBN-RCC-MON
11,NVP-II
12,PUP
13,ARGUS
14,EMCON
15,XNET
16,CHAOS
17,UDP
18,MUX
19,DCN-MEAS
20,HMP
21,PRM
22,XNS-IDP
23,TRUNK-1
24,TRUNK-2
25,LEAF-1
26,LEAF-2
27,RDP
28,IRTP
29,ISO-TP4
30,NETBLT
31,MFE-NSP
32,MERIT-INP
33,DCCP
34,3PC
35,IDPR
36,XTP
37,DDP
38,IDPR-CMTP
39,TP++ 
40,IL
41,IPv6
42,SDRP
43,IPv6-Route
44,IPv6-Frag
45,IDRP
46,RSVP
47,GRE
48,DSR
49,BNA
50,ESP
51,AH
52,I-NLSP
53,SWIPE
54,NARP
55,MOBILE
56,TLSP
57,SKIP
58,ICMPv6
59,IPv6-NoNxt
60,IPv6-Opts
61,Any host internal protocol
62,CFTP
63,Any local network
64,SAT-EXPAK
65,KRYPTOLAN
66,RVD
67,IPPC
68,Distributed FS
69,SAT-MON
70,VISA
71,IPCV
72,CPNX
73,CPHB
74,WSN
75,PVP
76,BR-SAT-MON
77,SUN-ND
78,WB-MON
79,WB-EXPAK
80,ISO-IP
81,VMTP
82,SECURE-VMTP
83,VINES
84,TTP
85,NSFNET-IGP
86,DGP
87,TCF
88,EIGRP
89,OSPF
90,Sprites
91,LARP
92,MTP
93,AX.25
94,IPIP
95,MICP
96,SCC-SP
97,ETHERIP
98,ENCAP
