key,value
1,Unspecified reason
2,Previous authentication no longer valid
3,Deauthenticated because sending station is leaving (or has left) IBSS or ESS
4,Disassociated due to inactivity
5,Disassociated because AP is unable to handle all currently associated stations
6,Class 2 frame received from nonauthenticated station
7,Class 3 frame received from nonassociated station
8,Disassociated because sending station is leaving BSS
9,Station requesting disassociation
10,Disassociated due to insufficient resources
11,Invalid class 2 frame
12,Invalid class 3 frame
13,Disassociated due to unacceptable power capability element
14,Disassociated due to unacceptable supported channels element
15,Invalid information element
16,Message integrity code failure
17,4-Way Handshake timeout
18,Group key update timeout
19,Information element in 4-Way Handshake is different
20,Invalid group cipher
21,Invalid pairwise cipher
22,Invalid AKMP
23,Unsupported RSN IE version
24,Invalid RSN IE capabilities
25,802.1X authentication failed
26,Cipher suite rejected because of security policy
34,Disassociated because session timeout
37,Disassociated because of restricted access policy
38,Disassociated because of Authorization De-clined
39,Disassociated because of Authorization Timeout
45,Peer STA does not support the requested cipher suite
